Passenger_ID,Flight_ID,Airline,Departure_Airport,Arrival_Airport,Departure_Time,Flight_Duration_Minutes,Flight_Status,Distance_Miles,Price_USD,Age,Gender,Income_Level,Travel_Purpose,Seat_Class,Bags_Checked,Frequent_Flyer_Status,Check_in_Method,Flight_Satisfaction_Score,Delay_Minutes,Booking_Days_In_Advance,No_Show,Weather_Impact,Seat_Selected
P1,F68,Southwest,JFK,ATL,2024-03-27 06:22:06,161,On-time,803,148.42,47,Male,Medium,Emergency,Business,2,Platinum,Online,6.9,0.0,91,1,1,Window
P2,F1687,Southwest,JFK,DFW,2024-12-28 09:18:06,130,On-time,1605,228.57,30,Female,Low,Family,Business,1,Gold,Airport Kiosk,5.3,2.0,45,0,0,Middle
P3,F1745,United,ORD,ORD,2024-05-23 23:28:20,169,On-time,908,232.45,46,Male,Low,Business,Economy,0,Silver,Airport Kiosk,7.0,0.0,63,0,0,Middle
P4,F1514,Delta,SEA,ORD,2023-10-31 08:09:27,227,On-time,63,526.43,75,Female,Medium,Leisure,Business,0,Platinum,Online,4.8,9.0,57,0,1,Window
P5,F1753,Southwest,LAX,JFK,2025-01-17 22:21:13,150,On-time,628,324.14,23,Male,High,Family,Economy,2,Silver,Desk,4.4,3.0,58,0,0,Middle
P6,F1928,Delta,SFO,LAX,2025-02-15 01:17:31,155,On-time,1409,402.53,28,Female,Low,Emergency,Business,0,None,Online,4.4,11.0,68,0,0,Window
P7,F532,Delta,ATL,SEA,2024-10-30 14:20:06,170,On-time,794,356.89,69,Female,Low,Emergency,Economy,0,Silver,Mobile App,4.9,17.0,37,0,0,Window
P8,F857,Delta,DFW,LAX,2023-11-12 13:05:12,82,On-time,1273,414.0,59,Male,Medium,Emergency,Business,1,None,Airport Kiosk,3.5,11.0,49,0,0,Middle
P9,F16,American Airlines,ATL,SEA,2023-11-16 00:44:10,191,On-time,1196,201.48,50,Female,Medium,Emergency,Economy,0,Gold,Online,8.2,16.0,57,0,0,Window
P10,F473,United,DEN,JFK,2025-04-18 01:27:34,201,On-time,1115,444.95,60,Female,Medium,Emergency,Economy,1,Platinum,Airport Kiosk,8.3,1.0,116,0,1,Aisle
P11,F960,United,SEA,SFO,2024-04-29 10:38:34,245,On-time,818,218.26,77,Male,Medium,Business,Business,1,None,Mobile App,8.5,4.0,87,0,0,Middle
P12,F170,JetBlue,DFW,ATL,2023-06-20 14:41:24,101,On-time,1148,338.0,39,Male,Medium,Business,Premium Economy,1,Gold,Online,7.9,7.0,9,0,0,Middle
P13,F1171,American Airlines,DFW,ORD,2024-02-28 01:57:01,108,Delayed,1167,388.83,28,Female,Medium,Emergency,Economy,0,None,Desk,5.4,13.0,115,0,0,Window
P14,F1788,United,DEN,JFK,2024-09-18 07:37:18,237,On-time,1544,276.14,38,Female,Low,Business,Economy,0,Silver,Desk,5.1,3.0,13,0,0,Window
P15,F377,Southwest,JFK,DEN,2024-05-13 12:05:04,188,On-time,596,359.22,20,Male,Low,Business,Business,0,Gold,Desk,4.1,8.0,87,0,0,Window
P16,F484,Southwest,SEA,SEA,2023-05-12 20:15:14,228,On-time,1256,361.83,73,Male,Low,Business,Business,1,None,Mobile App,7.5,3.0,84,0,0,Middle
P17,F1631,JetBlue,DFW,ORD,2023-10-19 19:34:27,85,On-time,1012,222.65,19,Female,Medium,Emergency,Premium Economy,0,None,Online,6.5,11.0,76,0,0,Middle
P18,F170,JetBlue,DFW,DEN,2024-04-13 01:27:37,232,On-time,1196,439.21,18,Female,Low,Family,Premium Economy,0,None,Mobile App,7.9,12.0,8,0,0,Window
P19,F478,JetBlue,DFW,SFO,2024-01-26 01:03:40,167,Delayed,1240,215.42,64,Male,Medium,Emergency,Economy,0,Gold,Airport Kiosk,7.9,4.0,88,0,0,Aisle
P20,F362,JetBlue,ATL,JFK,2024-09-19 00:55:28,83,On-time,1387,496.54,20,Male,Medium,Leisure,Economy,0,Platinum,Mobile App,4.9,2.0,24,0,0,Aisle
P21,F1143,Southwest,ATL,LAX,2023-11-16 21:04:19,248,On-time,1004,388.72,22,Male,Medium,Emergency,Premium Economy,0,None,Mobile App,10.0,4.0,59,0,0,Middle
P22,F39,Delta,ORD,DEN,2023-08-24 21:38:28,229,On-time,1278,271.2,29,Male,Medium,Family,Economy,1,Gold,Airport Kiosk,4.9,9.0,52,1,1,Window
P23,F1663,American Airlines,SFO,SEA,2025-02-11 07:57:22,87,On-time,902,248.89,54,Male,High,Business,Economy,1,None,Mobile App,3.9,3.0,10,0,0,Window
P24,F290,JetBlue,LAX,SEA,2023-05-25 00:18:47,256,Cancelled,1328,192.0,60,Female,Low,Leisure,Economy,2,Gold,Online,8.4,16.0,66,0,0,Window
P25,F888,JetBlue,ORD,JFK,2023-08-06 21:18:14,238,On-time,959,243.87,55,Female,Medium,Leisure,Economy,0,None,Online,4.5,6.0,92,0,0,Middle
P26,F1447,United,ORD,LAX,2024-05-26 10:14:26,138,On-time,1397,406.52,34,Male,Medium,Leisure,Economy,1,None,Online,6.7,6.0,94,0,0,Aisle
P27,F47,Delta,ATL,LAX,2025-02-06 21:23:06,117,On-time,1059,333.59,51,Male,Low,Leisure,Premium Economy,0,Gold,Online,6.9,14.0,70,0,0,Window
P28,F556,United,SEA,SEA,2023-06-30 13:32:12,169,On-time,1403,197.8,75,Male,Medium,Business,Economy,3,None,Airport Kiosk,5.9,7.0,24,0,0,Window
P29,F427,American Airlines,SFO,DFW,2025-01-13 20:17:55,192,On-time,1096,219.61,54,Male,Medium,Emergency,Economy,1,Gold,Desk,7.7,2.0,64,0,1,Aisle
P30,F939,American Airlines,DEN,LAX,2023-06-06 21:53:21,145,On-time,1272,420.26,31,Female,High,Family,Economy,1,None,Mobile App,6.6,11.0,114,0,0,Middle
P31,F922,Southwest,ORD,ATL,2023-12-11 09:10:50,100,Cancelled,1615,349.5,45,Female,Medium,Leisure,Economy,1,None,Desk,5.2,7.0,45,0,0,Middle
